"{'Timestamp': '23-05-2022:12:50:09:193077', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.014', 'Vz1': '0.0', 'Vm1': '0.014', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.014', 'Vz2': '0.0', 'Vm2': '0.014', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:200155', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.014', 'Vz1': '0.0', 'Vm1': '0.014', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.014', 'Vz2': '0.0', 'Vm2': '0.014', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:217042', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.015', 'Vz1': '0.0', 'Vm1': '0.015', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.015', 'Vz2': '0.0', 'Vm2': '0.015', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:223504', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.015', 'Vz1': '0.0', 'Vm1': '0.015', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.015', 'Vz2': '0.0', 'Vm2': '0.015', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:231359', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.015', 'Vz1': '0.0', 'Vm1': '0.015', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.015', 'Vz2': '0.0', 'Vm2': '0.015', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:239646', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.015', 'Vz1': '0.0', 'Vm1': '0.015', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.015', 'Vz2': '0.0', 'Vm2': '0.015', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:249305', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.015', 'Vz1': '0.0', 'Vm1': '0.015', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.015', 'Vz2': '0.0', 'Vm2': '0.015', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:259346', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.015', 'Vz1': '0.0', 'Vm1': '0.015', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.015', 'Vz2': '0.0', 'Vm2': '0.015', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:271483', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.016', 'Vz1': '0.0', 'Vm1': '0.016', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.016', 'Vz2': '0.0', 'Vm2': '0.016', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:280001', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.016', 'Vz1': '0.0', 'Vm1': '0.016', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.016', 'Vz2': '0.0', 'Vm2': '0.016', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:290190', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.016', 'Vz1': '0.0', 'Vm1': '0.016', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.016', 'Vz2': '0.0', 'Vm2': '0.016', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:299258', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.016', 'Vz1': '0.0', 'Vm1': '0.016', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.016', 'Vz2': '0.0', 'Vm2': '0.016', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:311314', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.016', 'Vz1': '0.0', 'Vm1': '0.016', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.016', 'Vz2': '0.0', 'Vm2': '0.016', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:320052', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.017', 'Vz1': '0.0', 'Vm1': '0.017', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.017', 'Vz2': '0.0', 'Vm2': '0.017', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:330357', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.017', 'Vz1': '0.0', 'Vm1': '0.017', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.017', 'Vz2': '0.0', 'Vm2': '0.017', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:339764', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.017', 'Vz1': '0.0', 'Vm1': '0.017', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.017', 'Vz2': '0.0', 'Vm2': '0.017', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
