"{'Timestamp': '24-05-2022:12:10:45:529006', 'Gyro1': '137.8', 'Vx1': '-0.013', 'Vy1': '-0.028', 'Vz1': '-0.002', 'Vm1': '0.031', 'Ax1': '-0.02', 'Ay1': '-0.05', 'Az1': '-0.0', 'Gyro2': '122.124', 'Vx2': '-0.02', 'Vy2': '-0.032', 'Vz2': '-0.001', 'Vm2': '0.038', 'Ax2': '-0.02', 'Ay2': '-0.04', 'Az2': '-0.0'}"
"{'Timestamp': '24-05-2022:12:10:46:029698', 'Gyro1': '136.57', 'Vx1': '-0.021', 'Vy1': '-0.046', 'Vz1': '-0.002', 'Vm1': '0.051', 'Ax1': '-0.01', 'Ay1': '-0.01', 'Az1': '-0.0', 'Gyro2': '120.264', 'Vx2': '-0.029', 'Vy2': '-0.05', 'Vz2': '-0.001', 'Vm2': '0.058', 'Ax2': '0.03', 'Ay2': '-0.05', 'Az2': '0.01'}"
"{'Timestamp': '24-05-2022:12:10:46:529144', 'Gyro1': '63.87', 'Vx1': '-0.013', 'Vy1': '-0.035', 'Vz1': '-0.001', 'Vm1': '0.037', 'Ax1': '-0.0', 'Ay1': '0.06', 'Az1': '-0.0', 'Gyro2': '46.824', 'Vx2': '-0.02', 'Vy2': '-0.047', 'Vz2': '-0.0', 'Vm2': '0.051', 'Ax2': '-0.0', 'Ay2': '0.06', 'Az2': '-0.01'}"
"{'Timestamp': '24-05-2022:12:10:47:038424', 'Gyro1': '137.45', 'Vx1': '-0.015', 'Vy1': '-0.023', 'Vz1': '-0.003', 'Vm1': '0.028', 'Ax1': '0.01', 'Ay1': '-0.01', 'Az1': '0.0', 'Gyro2': '123.644', 'Vx2': '-0.025', 'Vy2': '-0.037', 'Vz2': '-0.002', 'Vm2': '0.045', 'Ax2': '0.08', 'Ay2': '-0.03', 'Az2': '0.01'}"
"{'Timestamp': '24-05-2022:12:10:47:538573', 'Gyro1': '68.87', 'Vx1': '-0.009', 'Vy1': '-0.022', 'Vz1': '-0.003', 'Vm1': '0.023', 'Ax1': '-0.0', 'Ay1': '0.04', 'Az1': '-0.0', 'Gyro2': '51.704', 'Vx2': '-0.005', 'Vy2': '-0.041', 'Vz2': '0.002', 'Vm2': '0.041', 'Ax2': '-0.02', 'Ay2': '0.03', 'Az2': '-0.0'}"
"{'Timestamp': '24-05-2022:12:10:48:038639', 'Gyro1': '66.58', 'Vx1': '-0.005', 'Vy1': '0.001', 'Vz1': '-0.003', 'Vm1': '0.005', 'Ax1': '0.02', 'Ay1': '0.03', 'Az1': '0.0', 'Gyro2': '49.674', 'Vx2': '-0.004', 'Vy2': '-0.018', 'Vz2': '0.002', 'Vm2': '0.019', 'Ax2': '0.02', 'Ay2': '0.03', 'Az2': '0.0'}"
"{'Timestamp': '24-05-2022:12:10:48:538822', 'Gyro1': '99.13', 'Vx1': '-0.002', 'Vy1': '0.002', 'Vz1': '-0.003', 'Vm1': '0.003', 'Ax1': '0.01', 'Ay1': '-0.01', 'Az1': '0.0', 'Gyro2': '82.744', 'Vx2': '-0.001', 'Vy2': '-0.018', 'Vz2': '0.002', 'Vm2': '0.018', 'Ax2': '0.01', 'Ay2': '-0.01', 'Az2': '0.0'}"
"{'Timestamp': '24-05-2022:12:10:49:044295', 'Gyro1': '99.14', 'Vx1': '0.001', 'Vy1': '-0.003', 'Vz1': '-0.003', 'Vm1': '0.004', 'Ax1': '0.0', 'Ay1': '-0.01', 'Az1': '0.0', 'Gyro2': '82.754', 'Vx2': '0.001', 'Vy2': '-0.023', 'Vz2': '0.002', 'Vm2': '0.023', 'Ax2': '0.0', 'Ay2': '-0.01', 'Az2': '0.0'}"
"{'Timestamp': '24-05-2022:12:10:49:544097', 'Gyro1': '117.19', 'Vx1': '0.005', 'Vy1': '-0.015', 'Vz1': '-0.001', 'Vm1': '0.015', 'Ax1': '0.08', 'Ay1': '-0.02', 'Az1': '0.02', 'Gyro2': '99.354', 'Vx2': '0.014', 'Vy2': '-0.03', 'Vz2': '0.004', 'Vm2': '0.033', 'Ax2': '0.26', 'Ay2': '-0.04', 'Az2': '0.05'}"
"{'Timestamp': '24-05-2022:12:10:50:044960', 'Gyro1': '98.51', 'Vx1': '0.002', 'Vy1': '-0.002', 'Vz1': '-0.001', 'Vm1': '0.003', 'Ax1': '0.08', 'Ay1': '-0.03', 'Az1': '0.02', 'Gyro2': '81.814', 'Vx2': '0.01', 'Vy2': '-0.022', 'Vz2': '0.006', 'Vm2': '0.024', 'Ax2': '0.19', 'Ay2': '-0.02', 'Az2': '0.04'}"
"{'Timestamp': '24-05-2022:12:10:50:544402', 'Gyro1': '89.95', 'Vx1': '0.001', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.001', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.454', 'Vx2': '-0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0'}"
